Date,"Close Price"
"2016-09-10 00:00:00",622.21
"2016-09-11 00:00:00",605.81
"2016-09-12 00:00:00",606.31
"2016-09-13 00:00:00",606.92
"2016-09-14 00:00:00",608.22
"2016-09-15 00:00:00",605.21
"2016-09-16 00:00:00",606.33
"2016-09-17 00:00:00",605.29
"2016-09-18 00:00:00",608.7
"2016-09-19 00:00:00",608.53
"2016-09-20 00:00:00",599.47
"2016-09-21 00:00:00",595.8
"2016-09-22 00:00:00",595.03
"2016-09-23 00:00:00",601.71
"2016-09-24 00:00:00",601.34
"2016-09-25 00:00:00",599.18
"2016-09-26 00:00:00",606.81
"2016-09-27 00:00:00",604.76
"2016-09-28 00:00:00",603.52
"2016-09-29 00:00:00",605.06
"2016-09-30 00:00:00",608.44
"2016-10-01 00:00:00",613.93
"2016-10-02 00:00:00",610.29
"2016-10-03 00:00:00",612.34
"2016-10-04 00:00:00",609.37
"2016-10-05 00:00:00",610.88
"2016-10-06 00:00:00",610.9
"2016-10-07 00:00:00",616.49
"2016-10-08 00:00:00",616.6
"2016-10-09 00:00:00",614.62
"2016-10-10 00:00:00",617.42
"2016-10-11 00:00:00",639.37
"2016-10-12 00:00:00",635.08
"2016-10-13 00:00:00",635.02
"2016-10-14 00:00:00",638.37
"2016-10-15 00:00:00",637.37
"2016-10-16 00:00:00",639.83
"2016-10-17 00:00:00",636.92
"2016-10-18 00:00:00",635.51
"2016-10-19 00:00:00",628.15
"2016-10-20 00:00:00",628.62
"2016-10-21 00:00:00",630.15
"2016-10-22 00:00:00",652.71
"2016-10-23 00:00:00",649.24
"2016-10-24 00:00:00",648.4
"2016-10-25 00:00:00",652.89
"2016-10-26 00:00:00",674.36
"2016-10-27 00:00:00",686.52
"2016-10-28 00:00:00",688.1
"2016-10-29 00:00:00",712.87
"2016-10-30 00:00:00",696.35
"2016-10-31 00:00:00",697.37
"2016-11-01 00:00:00",729.27
"2016-11-02 00:00:00",742.46
"2016-11-03 00:00:00",687.51
"2016-11-04 00:00:00",702.54
"2016-11-05 00:00:00",704.16
"2016-11-06 00:00:00",712.24
"2016-11-07 00:00:00",704.02
"2016-11-08 00:00:00",709.15
"2016-11-09 00:00:00",721.19
"2016-11-10 00:00:00",713.67
"2016-11-11 00:00:00",716.56
"2016-11-12 00:00:00",703.55
"2016-11-13 00:00:00",702.5
"2016-11-14 00:00:00",706.39
"2016-11-15 00:00:00",711.96
"2016-11-16 00:00:00",742.07
"2016-11-17 00:00:00",735.41
"2016-11-18 00:00:00",749.68
"2016-11-19 00:00:00",750.63
"2016-11-20 00:00:00",728.61
"2016-11-21 00:00:00",736.72
"2016-11-22 00:00:00",748.22
"2016-11-23 00:00:00",741.6
"2016-11-24 00:00:00",736.4
"2016-11-25 00:00:00",738.28
"2016-11-26 00:00:00",732.82
"2016-11-27 00:00:00",728.42
"2016-11-28 00:00:00",731.75
"2016-11-29 00:00:00",731.76
"2016-11-30 00:00:00",742.01
"2016-12-01 00:00:00",753.25
"2016-12-02 00:00:00",771.41
"2016-12-03 00:00:00",764.97
"2016-12-04 00:00:00",766.46
"2016-12-05 00:00:00",750.71
"2016-12-06 00:00:00",758.81
"2016-12-07 00:00:00",763.9
"2016-12-08 00:00:00",766.75
"2016-12-09 00:00:00",770.41
"2016-12-10 18:54:00",772.63

"This data was produced from the CoinDesk Bitcoin Price Index. BPI value data is listed in USD."
http://www.coindesk.com/price/
