Date,Close
11/5/2016,704.1638
11/6/2016,712.2363
11/7/2016,704.0188
11/8/2016,709.1525
11/9/2016,721.1913
11/10/2016,713.6675
11/11/2016,716.5563
11/12/2016,703.5463
11/13/2016,702.5038
11/14/2016,706.395
11/15/2016,711.9563
11/16/2016,742.07
11/17/2016,735.4063
11/18/2016,749.6775
11/19/2016,750.6325
11/20/2016,728.6075
11/21/2016,736.7163
11/22/2016,748.225
11/23/2016,741.5963
11/24/2016,736.3988
11/25/2016,738.2775
11/26/2016,732.8238
11/27/2016,728.425
11/28/2016,731.7463
11/29/2016,731.765
11/30/2016,742.0075
12/1/2016,753.255
12/2/2016,771.4075
12/3/2016,764.9725
12/4/2016,766.4638
12/5/2016,750.7088
