Date,Close
2016-11-05,704.1638
2016-11-06,712.2363
2016-11-07,704.0188
2016-11-08,709.1525
2016-11-09,721.1913
2016-11-10,713.6675
2016-11-11,716.5563
2016-11-12,703.5463
2016-11-13,702.5038
2016-11-14,706.3950
2016-11-15,711.9563
2016-11-16,742.0700
2016-11-17,735.4063
2016-11-18,749.6775
2016-11-19,750.6325
2016-11-20,728.6075
2016-11-21,736.7163
2016-11-22,748.2250
2016-11-23,741.5963
2016-11-24,736.3988
2016-11-25,738.2775
2016-11-26,732.8238
2016-11-27,728.4250
2016-11-28,731.7463
2016-11-29,731.7650
2016-11-30,742.0075
2016-12-01,753.2550
2016-12-02,771.4075
2016-12-03,764.9725
2016-12-04,766.4638
2016-12-05,750.7088

"This data was produced from the CoinDesk Bitcoin Price Index. BPI value data is listed in USD."
http://www.coindesk.com/price/
